team_number,opinion_mean_upm,opinion_var_upm,opinion_sum,opinion_median_upm,obs_mean_upm,obs_var_upm,obs_sum,obs_median_upm,command_mean_upm,command_var_upm,command_sum,command_median_upm,suggest_mean_upm,suggest_var_upm,suggest_sum,suggest_median_upm,thanks_mean_upm,thanks_var_upm,thanks_sum,thanks_median_upm,intentions_mean_upm,intentions_var_upm,intentions_sum,intentions_median_upm,questions_mean_upm,questions_var_upm,questions_sum,questions_median_upm,answers_mean_upm,answers_var_upm,answers_sum,answers_median_upm,emotionex_mean_upm,emotionex_var_upm,emotionex_sum,emotionex_median_upm,agree_mean_upm,agree_var_upm,agree_sum,agree_median_upm,humour_mean_upm,humour_var_upm,humour_sum,humour_median_upm,apology_mean_upm,apology_var_upm,apology_sum,apology_median_upm,encourage_mean_upm,encourage_var_upm,encourage_sum,encourage_median_upm,frust_mean_upm,frust_var_upm,frust_sum,frust_median_upm,disagree_mean_upm,disagree_var_upm,disagree_sum,disagree_median_upm,nontask_mean_upm,nontask_var_upm,nontask_sum,nontask_median_upm,misc_mean_upm,misc_var_upm,misc_sum,misc_median_upm
38,3.54,2.75,99.00,4.00,2.32,2.65,65.00,2.00,0.25,0.19,7.00,0.00,0.21,0.17,6.00,0.00,0.04,0.03,1.00,0.00,0.43,0.32,12.00,0.00,0.68,0.79,19.00,0.00,0.50,0.46,14.00,0.00,1.36,2.16,38.00,1.00,0.96,1.11,27.00,1.00,0.07,0.07,2.00,0.00,0.04,0.03,1.00,0.00,0.75,0.90,21.00,0.50,0.07,0.07,2.00,0.00,0.14,0.12,4.00,0.00,0.25,0.47,7.00,0.00,0.04,0.03,1.00,0.00
14,1.71,1.75,53.00,2.00,3.19,2.99,99.00,3.00,2.16,1.55,67.00,2.00,1.16,1.55,36.00,1.00,0.03,0.03,1.00,0.00,1.77,1.66,55.00,2.00,0.61,0.69,19.00,0.00,0.52,0.57,16.00,0.00,0.45,0.51,14.00,0.00,2.26,3.22,70.00,2.00,0.19,0.54,6.00,0.00,0.23,0.17,7.00,0.00,1.55,3.15,48.00,1.00,0.00,0.00,0.00,0.00,0.06,0.06,2.00,0.00,0.10,0.28,3.00,0.00,0.32,0.41,10.00,0.00
28,1.91,2.02,63.00,2.00,2.30,2.33,76.00,2.00,0.88,0.89,29.00,1.00,0.70,0.51,23.00,1.00,0.00,0.00,0.00,0.00,0.79,0.65,26.00,1.00,0.42,0.30,14.00,0.00,0.33,0.28,11.00,0.00,0.91,0.87,30.00,1.00,2.85,2.37,94.00,3.00,0.39,0.72,13.00,0.00,0.24,0.30,8.00,0.00,1.24,1.58,41.00,1.00,0.12,0.17,4.00,0.00,0.33,0.34,11.00,0.00,0.52,2.92,17.00,0.00,0.12,0.11,4.00,0.00
29,2.59,2.24,70.00,3.00,2.26,3.90,61.00,2.00,0.52,1.06,14.00,0.00,0.74,1.16,20.00,0.00,0.04,0.04,1.00,0.00,0.96,1.00,26.00,1.00,0.93,1.25,25.00,1.00,0.63,0.90,17.00,0.00,1.07,1.48,29.00,1.00,1.59,1.43,43.00,1.00,0.89,1.73,24.00,0.00,0.15,0.13,4.00,0.00,0.63,0.90,17.00,0.00,0.07,0.07,2.00,0.00,0.33,0.52,9.00,0.00,0.59,2.09,16.00,0.00,0.07,0.07,2.00,0.00
15,3.04,3.62,73.00,3.00,2.54,2.58,61.00,2.00,0.79,0.58,19.00,1.00,0.71,0.79,17.00,0.50,0.04,0.04,1.00,0.00,1.12,1.03,27.00,1.00,0.42,0.24,10.00,0.00,0.29,0.29,7.00,0.00,0.88,0.86,21.00,1.00,1.62,2.15,39.00,1.00,0.21,0.16,5.00,0.00,0.12,0.11,3.00,0.00,1.54,2.50,37.00,1.00,0.00,0.00,0.00,0.00,0.29,0.29,7.00,0.00,0.08,0.08,2.00,0.00,0.42,0.41,10.00,0.00
17,1.94,2.51,60.00,2.00,2.16,2.91,67.00,2.00,0.45,0.63,14.00,0.00,0.32,0.28,10.00,0.00,0.00,0.00,0.00,0.00,0.74,0.84,23.00,0.00,0.77,0.82,24.00,1.00,0.32,0.28,10.00,0.00,0.84,1.17,26.00,1.00,0.77,0.69,24.00,1.00,0.03,0.03,1.00,0.00,0.10,0.09,3.00,0.00,0.58,0.76,18.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,1.00,0.00,0.16,0.20,5.00,0.00,0.45,0.31,14.00,0.00
16,2.88,3.47,72.00,3.00,3.12,2.99,78.00,3.00,0.88,1.07,22.00,1.00,0.40,0.40,10.00,0.00,0.12,0.11,3.00,0.00,1.16,1.57,29.00,1.00,1.16,0.85,29.00,1.00,0.68,0.46,17.00,1.00,0.76,0.58,19.00,1.00,1.16,1.65,29.00,1.00,0.68,0.86,17.00,0.00,0.16,0.13,4.00,0.00,0.92,1.03,23.00,1.00,0.04,0.04,1.00,0.00,0.12,0.11,3.00,0.00,1.12,2.99,28.00,0.00,0.40,0.56,10.00,0.00
33,1.89,2.88,53.00,2.00,2.68,4.15,75.00,2.00,0.86,0.91,24.00,1.00,0.68,0.58,19.00,1.00,0.07,0.07,2.00,0.00,1.21,1.60,34.00,1.00,0.25,0.19,7.00,0.00,0.25,0.40,7.00,0.00,0.82,0.79,23.00,1.00,1.29,1.28,36.00,1.00,0.29,0.35,8.00,0.00,0.11,0.10,3.00,0.00,0.71,1.63,20.00,0.00,0.07,0.07,2.00,0.00,0.11,0.10,3.00,0.00,1.07,7.35,30.00,0.00,0.07,0.07,2.00,0.00
27,1.79,1.88,50.00,2.00,3.96,4.18,111.00,4.00,0.68,0.65,19.00,0.00,0.68,0.72,19.00,0.00,0.04,0.03,1.00,0.00,1.46,1.18,41.00,1.50,1.00,1.29,28.00,1.00,0.50,0.46,14.00,0.00,1.75,1.90,49.00,1.50,1.36,1.44,38.00,1.00,0.46,0.82,13.00,0.00,0.75,0.83,21.00,0.00,1.61,1.81,45.00,1.00,0.32,0.65,9.00,0.00,0.36,0.37,10.00,0.00,0.36,0.59,10.00,0.00,0.04,0.03,1.00,0.00
26,0.32,1.13,7.00,0.00,1.09,0.99,24.00,1.00,0.68,0.94,15.00,0.00,0.32,0.31,7.00,0.00,0.00,0.00,0.00,0.00,1.05,1.32,23.00,1.00,0.18,0.24,4.00,0.00,0.18,0.33,4.00,0.00,0.36,0.32,8.00,0.00,0.95,0.86,21.00,1.00,0.05,0.04,1.00,0.00,0.09,0.17,2.00,0.00,1.00,1.09,22.00,1.00,0.14,0.21,3.00,0.00,0.23,0.18,5.00,0.00,0.09,0.08,2.00,0.00,0.00,0.00,0.00,0.00
